model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region
Ecoregion_EastHghlnds_strd_lasso,valnit,alpha0.01,30,139.4021668,0.236031899,0.074630187,0.294470366,0.897659664,40.0117404,-9.696020524,EastHghlnds
Ecoregion_EastHghlnds_strd_mlr,train,forwardklim80,14,11.82769539,0.895237138,0.891251595,0.125281432,0.17573193,4.761579872,1.76E-14,EastHghlnds
Ecoregion_EastHghlnds_strd_mlr,valin,forwardklim80,14,21.39970857,0.805822169,0.798434969,0.180387853,0.236376633,4.731257106,-8.31E-15,EastHghlnds
Ecoregion_EastHghlnds_strd_mlr,valnit,forwardklim80,14,96.32217575,0.472123917,0.425350087,0.363604966,0.746173963,6.018231575,6.38E-14,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_lasso,train,alpha0.01nc32,23,18.70201781,0.83434838,0.823735602,0.161171988,0.220975867,1,-1.03E-14,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_lasso,valin,alpha0.01nc32,23,45.03594713,0.591350392,0.565169498,0.266855279,0.342910089,1.023230071,-7.089814332,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_lasso,valnit,alpha0.01nc32,23,645.7579266,-2.538958314,-3.08524047,0.51620854,1.932020905,3485.675743,-22.75986404,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_mlr,train,alpha0.01nc32,18,19.41950853,0.827993264,0.819487436,0.165947061,0.225174771,1,-1.04E-14,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_mlr,valin,alpha0.01nc32,18,46.22147781,0.58059306,0.559853156,0.269931421,0.34739417,1.018774089,-7.075837514,EastHghlnds
Ecoregion_EastHghlnds_strd_PCA_mlr,valnit,alpha0.01nc32,18,1909.123971,-9.462605058,-10.68550695,0.689304768,3.321957055,1521.370605,-32.02390096,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_lasso,train,nn40mind0.81nc80alpha0.01,8,49.61347534,0.560552629,0.551152685,0.259019887,0.359915407,34.55783195,-2.93E-06,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_lasso,valin,nn40mind0.81nc80alpha0.01,8,87.65769861,0.204606843,0.187593086,0.368250322,0.478404929,17.72833724,-9.888819316,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_lasso,valnit,nn40mind0.81nc80alpha0.01,8,172.1616342,0.056499624,0.010475215,0.438974874,0.997574035,17.13033305,-17.92185201,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_mlr,train,nn40mind0.81nc80forwardklim80,8,41.7009698,0.630637011,0.622736198,0.245593412,0.329969418,82.47383257,0.000105919,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_mlr,valin,nn40mind0.81nc80forwardklim80,8,91.80633959,0.166962681,0.149143701,0.385793841,0.489594972,42.10295189,-11.2535583,EastHghlnds
Ecoregion_EastHghlnds_strd_UMAP_mlr,valnit,nn40mind0.81nc80forwardklim80,8,178.4709677,0.021922475,-0.025788624,0.499154444,1.015688973,58.48716158,-19.48681387,EastHghlnds
