model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
strd_PCA_lasso,valnit,alpha0.01nc34,19,10.03820142,0.61722578,0.544498678,0.177938672,0.289225999,2.863661766,-11.13626492,CntlPlains,Ecoregion
strd_PCA_mlr,train,alpha0.01nc34,12,10.02807961,0.815065187,0.809345554,0.115947784,0.158138167,1,-3.61E-15,CntlPlains,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc34,12,43.62504516,0.345474201,0.325231135,0.266292823,0.329834256,1.015920274,-21.7926941,CntlPlains,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc34,12,10.01548636,0.618091945,0.575261135,0.183422267,0.288898574,1.660483615,-11.28430934,CntlPlains,Ecoregion
regr_precip,train,none,1,52.48063824,0.4800067,0.478445159,0.283356659,0.39580124,1,7.94E-15,NorthEast,Ecoregion
regr_precip,valin,none,1,79.97618271,0.422993435,0.421260683,0.374250728,0.488605028,1,-10.70244968,NorthEast,Ecoregion
regr_precip,valnit,none,1,22.41202147,0.522933031,0.518014815,0.342342227,0.475798335,1,-0.079062321,NorthEast,Ecoregion
raw_lasso,train,alpha0.09,20,23.57760116,0.766386328,0.751506476,0.167054989,0.265293986,102.0542158,4.47E-14,NorthEast,Ecoregion
raw_lasso,valin,alpha0.09,20,50.9229602,0.632604591,0.60920361,0.308718936,0.389883106,101.8341663,-10.68707867,NorthEast,Ecoregion
raw_lasso,valnit,alpha0.09,20,18.37907806,0.608779107,0.508466057,0.307893866,0.430868023,113.4870616,0.305659245,NorthEast,Ecoregion
raw_mlr,train,forwardklim80,13,22.0187483,0.781831891,0.772996423,0.169629167,0.256373959,14.62089559,8.75E-14,NorthEast,Ecoregion
raw_mlr,valin,forwardklim80,13,50.31641988,0.636980616,0.622278896,0.311950974,0.387554213,14.66433119,-10.97810129,NorthEast,Ecoregion
raw_mlr,valnit,forwardklim80,13,24.03976083,0.488284631,0.410022281,0.337595563,0.492773647,13.42063467,-0.744728076,NorthEast,Ecoregion
